task,feature_set,model,label,precision,recall,f1-score,support
binary,A3_AllNumeric_NoCMG_NoRWAR,RandomForest,weighted avg,0.9974407434273441,0.99743,0.9974293108439531,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,ExtraTrees,Attack,0.9997189337470629,0.9943418168806191,0.9970231254379818,89428.0
binary,A3_AllNumeric_NoCMG_NoRWAR,ExtraTrees,Benign,0.9954436170116971,0.9997739029772456,0.9976040609137056,110572.0
binary,A3_AllNumeric_NoCMG_NoRWAR,ExtraTrees,macro avg,0.99758127537938,0.9970578599289324,0.9973135931758437,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,ExtraTrees,weighted avg,0.9973552821367486,0.997345,0.9973443014250903,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,HistGradientBoosting,Attack,0.999842609976279,0.9945095495817865,0.9971689492597223,89428.0
binary,A3_AllNumeric_NoCMG_NoRWAR,HistGradientBoosting,Benign,0.9955785283973742,0.9998733856672576,0.9977213350720374,110572.0
binary,A3_AllNumeric_NoCMG_NoRWAR,HistGradientBoosting,macro avg,0.9977105691868267,0.997191467624522,0.9974451421658799,200000.0
binary,A3_AllNumeric_NoCMG_NoRWAR,HistGradientBoosting,weighted avg,0.9974851698345656,0.997475,0.9974743412799187,200000.0
binary,A4_RWAR_RiskRouting,GaussianNB,Attack,0.5847144929002664,0.9692825513262066,0.7294139426859593,89428.0
binary,A4_RWAR_RiskRouting,GaussianNB,Benign,0.9469230026084436,0.443222515645914,0.6038182187806095,110572.0
binary,A4_RWAR_RiskRouting,GaussianNB,macro avg,0.765818747754355,0.7062525334860603,0.6666160807332844,200000.0
binary,A4_RWAR_RiskRouting,GaussianNB,weighted avg,0.7849650895775293,0.678445,0.6599770907676477,200000.0
binary,A4_RWAR_RiskRouting,LogisticRegression,Attack,0.5455387850384019,0.34233126090262556,0.42068088907210827,89428.0
binary,A4_RWAR_RiskRouting,LogisticRegression,Benign,0.5912373247708207,0.769353905147777,0.6686368906093415,110572.0
binary,A4_RWAR_RiskRouting,LogisticRegression,macro avg,0.5683880549046113,0.5558425830252013,0.5446588898407249,200000.0
binary,A4_RWAR_RiskRouting,LogisticRegression,weighted avg,0.570803679714867,0.578415,0.557765844081983,200000.0
binary,A4_RWAR_RiskRouting,RandomForest,Attack,0.9998988036340739,0.9943977277810082,0.9971406786122761,89428.0
binary,A4_RWAR_RiskRouting,RandomForest,Benign,0.9954890873730462,0.9999186050718084,0.9976989297767511,110572.0
binary,A4_RWAR_RiskRouting,RandomForest,macro avg,0.99769394550356,0.9971581664264083,0.9974198041945136,200000.0
binary,A4_RWAR_RiskRouting,RandomForest,weighted avg,0.9974608479020022,0.99745,0.9974493133510678,200000.0
binary,A4_RWAR_RiskRouting,ExtraTrees,Attack,0.999820075118638,0.9942076307196851,0.9970059544501385,89428.0
binary,A4_RWAR_RiskRouting,ExtraTrees,Benign,0.9953364423717521,0.9998552979054371,0.9975907528220677,110572.0
binary,A4_RWAR_RiskRouting,ExtraTrees,macro avg,0.9975782587451951,0.9970314643125611,0.9972983536361031,200000.0
binary,A4_RWAR_RiskRouting,ExtraTrees,weighted avg,0.9973412539181946,0.99733,0.9973292660780432,200000.0
binary,A4_RWAR_RiskRouting,HistGradientBoosting,Attack,0.9998763280679072,0.994476003041553,0.9971688540305989,89428.0
binary,A4_RWAR_RiskRouting,HistGradientBoosting,Benign,0.995551753635586,0.9999005173099881,0.997721396761225,110572.0
binary,A4_RWAR_RiskRouting,HistGradientBoosting,macro avg,0.9977140408517466,0.9971882601757706,0.9974451253959119,200000.0
binary,A4_RWAR_RiskRouting,HistGradientBoosting,weighted avg,0.9974854438472542,0.997475,0.9974743328046528,200000.0
binary,A5_CMG_GraphMemory,GaussianNB,Attack,0.5956928748787719,0.9684438878203695,0.737653046014948,89428.0
binary,A5_CMG_GraphMemory,GaussianNB,Benign,0.9483273213337484,0.46839163621893426,0.627066622271998,110572.0
binary,A5_CMG_GraphMemory,GaussianNB,macro avg,0.7720100981062601,0.7184177620196519,0.682359834143473,200000.0
binary,A5_CMG_GraphMemory,GaussianNB,weighted avg,0.7906503549458702,0.691985,0.6765142357844207,200000.0
binary,A5_CMG_GraphMemory,LogisticRegression,Attack,0.6272985965895618,0.6507693339893545,0.6388184542430928,89428.0
binary,A5_CMG_GraphMemory,LogisticRegression,Benign,0.7087366869975565,0.6872897297688384,0.6978484650915068,110572.0
binary,A5_CMG_GraphMemory,LogisticRegression,macro avg,0.6680176417935592,0.6690295318790964,0.6683334596672998,200000.0
binary,A5_CMG_GraphMemory,LogisticRegression,weighted avg,0.6723224592525258,0.67096,0.6714537860407469,200000.0
binary,A5_CMG_GraphMemory,RandomForest,Attack,0.9999437842213552,0.9945207317618643,0.997224885211161,89428.0
binary,A5_CMG_GraphMemory,RandomForest,Benign,0.9955878512835751,0.9999547805954491,0.997766537772584,110572.0
binary,A5_CMG_GraphMemory,RandomForest,macro avg,0.9977658177524651,0.9972377561786567,0.9974957114918725,200000.0
binary,A5_CMG_GraphMemory,RandomForest,weighted avg,0.9975355631373741,0.997525,0.9975243432462693,200000.0
binary,A5_CMG_GraphMemory,ExtraTrees,Attack,0.9999437892772425,0.9946101892024869,0.9972698579989797,89428.0
binary,A5_CMG_GraphMemory,ExtraTrees,Benign,0.9956595737016992,0.9999547805954491,0.9978025548120439,110572.0
binary,A5_CMG_GraphMemory,ExtraTrees,macro avg,0.9978016814894708,0.997282484898968,0.9975362064055118,200000.0
binary,A5_CMG_GraphMemory,ExtraTrees,weighted avg,0.9975752178541476,0.997565,0.9975643647590504,200000.0
binary,A5_CMG_GraphMemory,HistGradientBoosting,Attack,0.9999437854854123,0.99454309612202,0.9972361287863073,89428.0
binary,A5_CMG_GraphMemory,HistGradientBoosting,Benign,0.9956057809193642,0.9999547805954491,0.997775541788681,110572.0
binary,A5_CMG_GraphMemory,HistGradientBoosting,macro avg,0.9977747832023882,0.9972489383587345,0.9975058352874941,200000.0
binary,A5_CMG_GraphMemory,HistGradientBoosting,weighted avg,0.9975454762810271,0.997535,0.9975343486587995,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,GaussianNB,Attack,0.5828741078146288,0.9615780292525831,0.7257964457986402,89428.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,GaussianNB,Benign,0.9345137128590215,0.44344861266866836,0.601480609171926,110572.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,GaussianNB,macro avg,0.7586939103368251,0.7025133209606257,0.6636385274852832,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,GaussianNB,weighted avg,0.7772815798594717,0.675125,0.657067192361195,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,LogisticRegression,Attack,0.8735468612202357,0.9747059086639531,0.9213580534004185,89428.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,LogisticRegression,Benign,0.9774287538915941,0.8858843106753971,0.9294077461715088,110572.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,LogisticRegression,macro avg,0.925487807555915,0.9302951096696751,0.9253828997859637,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,LogisticRegression,weighted avg,0.930979004402523,0.9256,0.9258084065458435,200000.0
