task,feature_set,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
binary,A3_AllNumeric_NoCMG_NoRWAR,ExtraTrees,600000,200000,78,2,0.997345,0.9970578599289324,0.99758127537938,0.9970578599289324,0.9973135931758437,0.9973552821367486,0.997345,0.9973443014250903,0.9946389975881368,0.9981572097017665,0.9976274778941489,0.027088957033082242,23.138763200026006,0.6630487000220455,0.003315243500110228
binary,A4_RWAR_RiskRouting,ExtraTrees,600000,200000,87,2,0.99733,0.9970314643125611,0.9975782587451951,0.9970314643125611,0.9972983536361031,0.9973412539181946,0.99733,0.9973292660780432,0.9946095727554983,0.9983902418868775,0.9980201266141012,0.022004127126057538,24.339782700000796,0.6983953999588266,0.0034919769997941333
binary,A2_Core_PortProtocol_Temporal,HistGradientBoosting,600000,200000,36,2,0.99433,0.9941140924689975,0.9944183742129671,0.9941140924689975,0.9942641583911835,0.994332311926721,0.99433,0.9943291273559406,0.9885324198512407,0.9988153170826394,0.998773889595379,0.02397380280598126,5.178358200006187,0.23858239996479824,0.0011929119998239912
binary,A2_Core_PortProtocol_Temporal,RandomForest,600000,200000,36,2,0.994155,0.9939002287747105,0.9942795494549919,0.9939002287747105,0.9940866833030366,0.9941590243439462,0.994155,0.9941538781786282,0.9881797054270673,0.9981017329537764,0.9975129719321215,0.0380833874273468,18.336827200022526,0.22051250003278255,0.0011025625001639127
binary,A1_Core_PortProtocol,RandomForest,600000,200000,14,2,0.994125,0.993866682234477,0.9942525368747193,0.993866682234477,0.9940562938763187,0.9941291886138528,0.994125,0.9941238529275729,0.9881191437722298,0.9979592306961718,0.9972506257895264,0.03952323841199514,10.884099499962758,0.17463930003577843,0.0008731965001788921
binary,A1_Core_PortProtocol,HistGradientBoosting,600000,200000,14,2,0.993685,0.9934569908290072,0.9937706357102719,0.9934569908290072,0.9936116061435823,0.9936873093661398,0.993685,0.9936839968559066,0.9872275767163653,0.9986446449280284,0.998561622488827,0.026155092527995184,3.249700899992604,0.19434210000326857,0.0009717105000163428
binary,A2_Core_PortProtocol_Temporal,ExtraTrees,600000,200000,36,2,0.99286,0.9927472217397677,0.992810627750196,0.9927472217397677,0.9927788323395276,0.9928597213755656,0.99286,0.9928597703235413,0.9855578474503462,0.9977667801303921,0.9971361293497872,0.03760970766299223,12.601261199975852,0.3000124000245705,0.0015000620001228526
binary,A1_Core_PortProtocol,ExtraTrees,600000,200000,14,2,0.99209,0.9921107152863784,0.9918961511380961,0.9921107152863784,0.9920023457405067,0.9920938522926445,0.99209,0.9920908623926571,0.9840068430314599,0.9972686394017445,0.9962022439656338,0.13558207407036652,5.710554899997078,0.20667550002690405,0.0010333775001345202
binary,A0_CoreFlow,HistGradientBoosting,600000,200000,12,2,0.968075,0.9672292908116333,0.968176239096272,0.9672292908116333,0.9676821387453332,0.9680829992909069,0.968075,0.9680588408617304,0.9354050505910451,0.9955124794464588,0.9957936527579958,0.0778112751464825,4.959181100013666,0.19941810000455007,0.0009970905000227502
binary,A0_CoreFlow,RandomForest,600000,200000,12,2,0.966855,0.9681348694086007,0.965505088623167,0.9681348694086007,0.9665828453449088,0.967413777011007,0.966855,0.9669016684391106,0.9336362543767147,0.9948417511552248,0.9947058139373561,0.09615283518696723,15.241141700011212,0.1753803000319749,0.0008769015001598746
binary,A0_CoreFlow,ExtraTrees,600000,200000,12,2,0.96571,0.9676029144983676,0.9642226593293844,0.9676029144983676,0.9654640462618159,0.9667161838409207,0.96571,0.9657721660532702,0.9318194427647515,0.9941984303901932,0.9937578860403857,0.2314993764963855,5.058000199962407,0.19173050002427772,0.0009586525001213886
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,LogisticRegression,600000,200000,35,2,0.9256,0.9302951096696751,0.925487807555915,0.9302951096696751,0.9253828997859637,0.930979004402523,0.9256,0.9258084065458435,0.8557694147733536,0.9608566590509777,0.9713552962612141,0.26620769515846415,626.7258866999764,0.12228870001854375,0.0006114435000927188
binary,A1_Core_PortProtocol,LogisticRegression,600000,200000,14,2,0.839405,0.8518003884749956,0.8570207163887188,0.8518003884749956,0.8392861411688342,0.8686523042758922,0.839405,0.8388240799211467,0.7088018812592769,0.9228138916020442,0.9418410022230878,0.38489982864495004,125.07664550002664,0.028629399952478707,0.00014314699976239353
binary,A0_CoreFlow,LogisticRegression,600000,200000,12,2,0.815595,0.8299760993410654,0.8402098601316751,0.8299760993410654,0.815164065883339,0.8530739810131852,0.815595,0.8142205357018459,0.6701078199920357,0.9125117704449486,0.9275784735531369,0.42021615616761815,309.90871160000097,0.03968629997689277,0.00019843149988446384
binary,A7_TCPFlagsOnly,RandomForest,600000,200000,12,2,0.716885,0.7233890733666561,0.7221691574283462,0.7233890733666561,0.7168216665922973,0.7295381209334874,0.716885,0.7172693836008117,0.4455565607577515,0.7881134505035303,0.8171893989575953,0.5186039346528313,9.590832100016996,0.1761703999945894,0.000880851999972947
binary,A7_TCPFlagsOnly,ExtraTrees,600000,200000,12,2,0.716885,0.7233890733666561,0.7221691574283462,0.7233890733666561,0.7168216665922973,0.7295381209334874,0.716885,0.7172693836008117,0.4455565607577515,0.7881146591118047,0.8171954496724654,0.5186477069883656,3.2737700999714434,0.20850760000757873,0.0010425380000378937
