task,feature_set,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
multiclass,A6_Full_CAVALRY_AI,ExtraTrees,600000,200000,93,12,0.97271,0.8952811474184595,0.8178993911370537,0.8952811474184595,0.8234325884940521,0.9885813565837134,0.97271,0.9801290848406427,0.9593401218210026,0.9865073623226576,0.8811702148326163,0.11564476349791011,33.414567600004375,2.2430785999749787,0.011215392999874894
multiclass,A5_CMG_GraphMemory,HistGradientBoosting,600000,200000,84,12,0.98661,0.8477338174409702,0.8150588521343417,0.8477338174409702,0.8201706182935405,0.9862948802697381,0.98661,0.9862779196457495,0.9795794127983537,0.9704614418147964,0.8257687638007666,0.10841293747366959,40.22754429996712,1.4300790000124834,0.007150395000062417
multiclass,A2_Core_PortProtocol_Temporal,HistGradientBoosting,600000,200000,36,12,0.978425,0.8139392241541779,0.8240947571856916,0.8139392241541779,0.8175297991762055,0.9766539928490454,0.978425,0.9774600729676179,0.9670450684366781,0.9705998232038299,0.8261420923145665,0.0911240772558492,12.42950489994837,0.658280800038483,0.003291404000192415
multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,HistGradientBoosting,600000,200000,35,12,0.97951,0.8500500584882354,0.8069216460707594,0.8500500584882354,0.8056870133620668,0.9866902995531586,0.97951,0.9828005630023418,0.969048430498524,0.9752005307264358,0.8149718731850063,0.39777503245215595,30.171054799982812,1.395994399965275,0.006979971999826375
multiclass,A3_AllNumeric_NoCMG_NoRWAR,ExtraTrees,600000,200000,78,12,0.96344,0.8742503141395127,0.7954825827147518,0.8742503141395127,0.8044429652262063,0.9823154594437098,0.96344,0.9723299669767987,0.9457129326850717,0.9855704189769461,0.8523238626571102,0.14433027841172075,23.859494399977848,1.3556741999927908,0.006778370999963953
multiclass,A5_CMG_GraphMemory,ExtraTrees,600000,200000,84,12,0.965225,0.8719293388021279,0.7926545315243115,0.8719293388021279,0.7996524775137231,0.9823532800109885,0.965225,0.973279941097369,0.9481843671877588,0.9861878930268038,0.858569595287209,0.13298121700429355,31.865203199966345,2.1409478000132367,0.010704739000066183
multiclass,A1_Core_PortProtocol,HistGradientBoosting,600000,200000,14,12,0.97539,0.8037799024665692,0.7949721033228334,0.8037799024665692,0.7956721701458621,0.9735859043993852,0.97539,0.9743886554905049,0.9624021242553551,0.9779946078562548,0.8109273267411178,0.1183463439670932,9.099747199972626,0.532105699996464,0.0026605284999823195
multiclass,A2_Core_PortProtocol_Temporal,RandomForest,600000,200000,36,12,0.96626,0.8180667770160838,0.7638777600068233,0.8180667770160838,0.7726809289309252,0.9720403444730431,0.96626,0.9687960998195263,0.9489978209316888,0.9797048112549512,0.8248242787383419,0.09883711216109939,31.231089200009592,0.9475236000143923,0.004737618000071961
multiclass,A2_Core_PortProtocol_Temporal,ExtraTrees,600000,200000,36,12,0.957205,0.829522230357881,0.7564537358330297,0.829522230357881,0.7687958158373557,0.9702956903497391,0.957205,0.9630955063558996,0.9360308863220601,0.9833991766635228,0.8292484640850186,0.16661926836485694,19.58679689996643,1.1820107999956235,0.005910053999978117
multiclass,A1_Core_PortProtocol,RandomForest,600000,200000,14,12,0.96125,0.8213007832213294,0.7595486317230068,0.8213007832213294,0.7686862576679124,0.9704352600704064,0.96125,0.9653896045812416,0.9416568217487672,0.9801724121966937,0.8228938990287964,0.10953816153394252,17.126681599998847,0.8836590999853797,0.0044182954999268985
